央视频道,#genre#
上海纪实,http://171.213.146.255:9991/rtp/239.93.1.137:5140
中国交通·四川,http://118.113.146.242:8888/rtp/239.93.0.142:5140
中国交通·四川,http://171.213.146.255:9991/rtp/239.93.0.142:5140
中国交通·四川,http://171.213.203.64:8088/rtp/239.93.0.142:5140
云演艺宣传,http://118.113.146.242:8888/rtp/239.93.42.60:5140
云演艺宣传,http://171.213.146.255:9991/rtp/239.93.42.60:5140
云演艺宣传,http://171.213.203.64:8088/rtp/239.93.42.60:5140
云演艺直播,http://118.113.146.242:8888/rtp/239.93.42.59:5140
云演艺直播,http://171.213.146.255:9991/rtp/239.93.42.59:5140
全球大片,http://118.113.146.242:8888/rtp/239.93.0.105:5140
全球大片,http://171.213.146.255:9991/rtp/239.93.0.105:5140
全球大片,http://171.213.203.64:8088/rtp/239.93.0.105:5140
军事,http://118.113.146.242:8888/rtp/239.93.0.204:9076
军事,http://171.213.146.255:9991/rtp/239.93.0.204:9076
军事,http://171.213.203.64:8088/rtp/239.93.0.204:9076
台球,http://118.113.146.242:8888/rtp/239.93.0.203:9072
台球,http://171.213.146.255:9991/rtp/239.93.0.203:9072
台球,http://171.213.203.64:8088/rtp/239.93.0.203:9072
墨宝,http://118.113.146.242:8888/rtp/239.93.0.215:9132
墨宝,http://171.213.146.255:9991/rtp/239.93.0.215:9132
墨宝,http://171.213.203.64:8088/rtp/239.93.0.215:9132
宝宝动画,http://118.113.146.242:8888/rtp/239.93.0.147:5140
宝宝动画,http://171.213.146.255:9991/rtp/239.93.0.147:5140
宝宝动画,http://171.213.203.64:8088/rtp/239.93.0.147:5140
少儿动画,http://118.113.146.242:8888/rtp/239.93.0.193:9000
少儿动画,http://171.213.146.255:9991/rtp/239.93.0.193:9000
少儿动画,http://171.213.203.64:8088/rtp/239.93.0.193:9000
少儿天地,http://118.113.146.242:8888/rtp/239.93.42.34:5140
少儿天地,http://171.213.146.255:9991/rtp/239.93.42.34:5140
少儿天地,http://171.213.203.64:8088/rtp/239.93.42.34:5140
戏曲,http://118.113.146.242:8888/rtp/239.93.0.217:9208
戏曲,http://171.213.146.255:9991/rtp/239.93.0.217:9208
戏曲,http://171.213.203.64:8088/rtp/239.93.0.217:9208
戏曲精选,http://118.113.146.242:8888/rtp/239.93.0.144:5140
戏曲精选,http://171.213.146.255:9991/rtp/239.93.0.144:5140
戏曲精选,http://171.213.203.64:8088/rtp/239.93.0.144:5140
收视导视,http://118.113.146.242:8888/rtp/239.93.1.39:5140
收视导视,http://171.213.146.255:9991/rtp/239.93.1.39:5140
收视导视,http://171.213.203.64:8088/rtp/239.93.1.39:5140
收视指南,http://118.113.146.242:8888/rtp/239.93.0.195:8012
收视指南,http://171.213.146.255:9991/rtp/239.93.0.195:8012
收视指南,http://171.213.203.64:8088/rtp/239.93.0.195:8012
斗牛财经,http://118.113.146.242:8888/rtp/239.93.42.62:5140
斗牛财经,http://171.213.146.255:9991/rtp/239.93.42.62:5140
